thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I'm always trying to figure myself out.,0,0,0,0,0,2,8.02,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I'm concerned about my style of doing things.,0,0,1,1,1,1,4.526,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
It takes me time to get over my shyness in new situations.,0,0,2,2,2,3,3.902,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I think about myself a lot.,0,0,3,3,3,2,2.763,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I care a lot about how I present myself to others.,0,0,4,4,4,2,4.916,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I often daydream about myself.,0,0,5,5,5,1,5.384,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
It's hard for me to work when someone is watching me.,0,0,6,6,6,2,6.429,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I never take a hard look at myself.,1,0,7,7,7,1,3.699,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I get embarrassed very easily.,0,0,8,8,8,2,3.902,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I'm self-conscious about the way I look.,0,0,9,9,9,2,5.275,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
It's easy for me to talk to strangers.,1,0,10,10,10,1,2.342,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I generally pay attention to my inner feelings.,0,0,11,11,11,2,12.264,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I usually worry about making a good impression.,0,0,12,12,12,2,8.379,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I'm constantly thinking about my reasons for doing things.,0,0,13,13,13,1,9.081,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I feel nervous when I speak in front of a group.,0,0,14,14,14,1,3.013,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
"Before I leave my house, I check how I look.",0,0,15,15,15,2,4.042,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I sometimes step back (in my mind) in order to examine myself from a distance.,0,0,16,16,16,1,9.94,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I'm concerned about what other people think of me.,0,0,17,17,17,2,2.187,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I'm quick to notice changes in my mood.,0,0,18,18,18,1,4.76,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I'm usually aware of my appearance.,0,0,19,19,19,1,3.652,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
I know the way my mind works when I work through a problem.,0,0,20,20,20,2,5.134,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
Large groups make me nervous.,0,0,21,21,21,1,6.554,2016_Nov_01_1035,63.3646068105,scsr_questions,001,128,
