thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
A person's family is the most important thing in life. ,1,0,0,0,0,2,11.417,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
"Even if something bad is about to happen to me, I rarely experience fear or nervousness. ",0,0,1,1,1,3,17.599,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I go out of my way to get things I want. ,1,0,2,2,2,2,7.101,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
When I'm doing well at something I love to keep at it. ,1,0,3,3,3,1,5.468,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I'm always willing to try something new if I think it will be fun. ,1,0,4,4,4,2,6.65,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
How I dress is important to me. ,1,0,5,5,5,2,4.184,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
"When I get something I want, I feel excited and energized. ",1,0,6,6,6,1,4.934,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
Criticism or scolding hurts me quite a bit. ,1,0,7,7,7,1,7.25,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
When I want something I usually go all-out to get it. ,1,0,8,8,8,3,6.5,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I will often do things for no other reason than that they might be fun.,1,0,9,9,9,3,7.117,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
It's hard for me to find the time to do things such as get a haircut. ,1,0,10,10,10,2,8.151,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
If I see a chance to get something I want I move on it right away. ,1,0,11,11,11,2,11.4,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I feel pretty worried or upset when I think or know somebody is angry at me. ,1,0,12,12,12,2,11.716,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
When I see an opportunity for something I like I get excited right away. ,1,0,13,13,13,1,6.37,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I often act on the spur of the moment. ,1,0,14,14,14,3,3.436,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
If I think something unpleasant is going to happen I usually get pretty "worked up.",1,0,15,15,15,1,8.4,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I often wonder why people act the way they do. ,1,0,16,16,16,1,3.934,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
"When good things happen to me, it affects me strongly. ",1,0,17,17,17,1,7.184,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I feel worried when I think I have done poorly at something important. ,1,0,18,18,18,1,4.634,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I crave excitement and new sensations.,1,0,19,19,19,2,3.751,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
When I go after something I use a "no holds barred" approach. ,1,0,20,20,20,3,6.35,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I have very few fears compared to my friends. ,0,0,21,21,21,3,4.118,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
It would excite me to win a contest. ,1,0,22,22,22,1,3.318,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
I worry about making mistakes. ,1,0,23,23,23,1,4.834,2017_Apr_18_0846,60.2349936741,BAS_questions,001,132,
