thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I'm always trying to figure myself out.,0,0,0,0,0,2,5.589,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I'm concerned about my style of doing things.,0,0,1,1,1,2,2.456,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
It takes me time to get over my shyness in new situations.,0,0,2,2,2,3,4.011,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I think about myself a lot.,0,0,3,3,3,2,3.529,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I care a lot about how I present myself to others.,0,0,4,4,4,1,3.325,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I often daydream about myself.,0,0,5,5,5,1,3.918,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
It's hard for me to work when someone is watching me.,0,0,6,6,6,2,4.06,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I never take a hard look at myself.,1,0,7,7,7,0,3.325,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I get embarrassed very easily.,0,0,8,8,8,0,2.498,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I'm self-conscious about the way I look.,0,0,9,9,9,1,2.999,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
It's easy for me to talk to strangers.,1,0,10,10,10,0,6.338,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I generally pay attention to my inner feelings.,0,0,11,11,11,1,6.96,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I usually worry about making a good impression.,0,0,12,12,12,0,2.451,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I'm constantly thinking about my reasons for doing things.,0,0,13,13,13,0,3.387,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I feel nervous when I speak in front of a group.,0,0,14,14,14,2,2.748,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
"Before I leave my house, I check how I look.",0,0,15,15,15,3,4.043,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I sometimes step back (in my mind) in order to examine myself from a distance.,0,0,16,16,16,3,3.975,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I'm concerned about what other people think of me.,0,0,17,17,17,1,3.2,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I'm quick to notice changes in my mood.,0,0,18,18,18,0,2.999,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I'm usually aware of my appearance.,0,0,19,19,19,2,3.59,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
I know the way my mind works when I work through a problem.,0,0,20,20,20,2,3.091,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
Large groups make me nervous.,0,0,21,21,21,1,2.186,2016_Aug_29_1157,63.2429747151,scsr_questions,001,124,
