thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I'm always trying to figure myself out.,0,0,0,0,0,1,13.569,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I'm concerned about my style of doing things.,0,0,1,1,1,1,5.02,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
It takes me time to get over my shyness in new situations.,0,0,2,2,2,1,15.073,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I think about myself a lot.,0,0,3,3,3,1,7.852,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I care a lot about how I present myself to others.,0,0,4,4,4,1,6.913,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I often daydream about myself.,0,0,5,5,5,0,3.731,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
It's hard for me to work when someone is watching me.,0,0,6,6,6,0,5.341,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I never take a hard look at myself.,1,0,7,7,7,2,17.71,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I get embarrassed very easily.,0,0,8,8,8,0,9.085,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I'm self-conscious about the way I look.,0,0,9,9,9,1,4.009,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
It's easy for me to talk to strangers.,1,0,10,10,10,2,6.977,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I generally pay attention to my inner feelings.,0,0,11,11,11,1,7.256,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I usually worry about making a good impression.,0,0,12,12,12,2,11.314,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I'm constantly thinking about my reasons for doing things.,0,0,13,13,13,0,15.778,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I feel nervous when I speak in front of a group.,0,0,14,14,14,3,5.791,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
"Before I leave my house, I check how I look.",0,0,15,15,15,1,7.219,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I sometimes step back (in my mind) in order to examine myself from a distance.,0,0,16,16,16,0,7.055,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I'm concerned about what other people think of me.,0,0,17,17,17,0,8.821,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I'm quick to notice changes in my mood.,0,0,18,18,18,1,12.015,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I'm usually aware of my appearance.,0,0,19,19,19,1,7.48,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
I know the way my mind works when I work through a problem.,0,0,20,20,20,2,8.914,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
Large groups make me nervous.,0,0,21,21,21,1,11.77,2017_Apr_11_1156,63.0440560312,scsr_questions,001,131,
