thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I'm always trying to figure myself out.,0,0,0,0,0,3,13.975,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I'm concerned about my style of doing things.,0,0,1,1,1,2,9.071,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
It takes me time to get over my shyness in new situations.,0,0,2,2,2,2,5.079,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I think about myself a lot.,0,0,3,3,3,1,1.843,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I care a lot about how I present myself to others.,0,0,4,4,4,2,2.639,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I often daydream about myself.,0,0,5,5,5,0,3.434,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
It's hard for me to work when someone is watching me.,0,0,6,6,6,3,3.434,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I never take a hard look at myself.,1,0,7,7,7,2,5.01,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I get embarrassed very easily.,0,0,8,8,8,2,2.28,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I'm self-conscious about the way I look.,0,0,9,9,9,2,2.249,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
It's easy for me to talk to strangers.,1,0,10,10,10,2,2.061,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I generally pay attention to my inner feelings.,0,0,11,11,11,2,2.239,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I usually worry about making a good impression.,0,0,12,12,12,2,1.968,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I'm constantly thinking about my reasons for doing things.,0,0,13,13,13,1,3.496,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I feel nervous when I speak in front of a group.,0,0,14,14,14,2,2.404,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
"Before I leave my house, I check how I look.",0,0,15,15,15,2,2.451,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I sometimes step back (in my mind) in order to examine myself from a distance.,0,0,16,16,16,1,3.679,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I'm concerned about what other people think of me.,0,0,17,17,17,2,1.952,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I'm quick to notice changes in my mood.,0,0,18,18,18,1,2.951,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I'm usually aware of my appearance.,0,0,19,19,19,2,3.748,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
I know the way my mind works when I work through a problem.,0,0,20,20,20,1,2.514,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
Large groups make me nervous.,0,0,21,21,21,2,2.404,2016_Oct_04_0903,63.0611390591,scsr_questions,001,127,
