thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I plan tasks carefully.,1,0,0,0,0,4,5.017,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I do things without thinking.,0,0,1,1,1,2,2.085,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I make-up my mind quickly.,0,0,2,2,2,2,2.534,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I am happy-go-lucky.,0,0,3,3,3,1,2.817,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I don't "pay attention.",0,0,4,4,4,2,3.284,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I have "racing" thoughts.,0,0,5,5,5,3,3.267,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I plan trips well ahead of time.,1,0,6,6,6,3,2.484,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I am self controlled.,1,0,7,7,7,4,4.382,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I concentrate easily.,1,0,8,8,8,3,2.082,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I save regularly.,1,0,9,9,9,3,2.316,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I "squirm" at plays or lectures,0,0,10,10,10,3,2.384,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I am a careful thinker.,1,0,11,11,11,4,2.584,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I plan for job security.,1,0,12,12,12,2,7.549,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I say things without thinking.,0,0,13,13,13,2,1.984,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I like to think about complex problems.,1,0,14,14,14,3,2.201,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I change jobs.,0,0,15,15,15,2,2.366,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I act "on impulse.",0,0,16,16,16,2,2.268,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I get easily bored when solving thought problems.,0,0,17,17,17,4,2.968,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I act on the spur of the moment.,0,0,18,18,18,2,1.935,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I am a steady thinker.,1,0,19,19,19,3,1.765,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I change residences.,0,0,20,20,20,2,3.015,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I buy things on impulse.,0,0,21,21,21,3,3.065,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I can only think about one thing at a time.,0,0,22,22,22,2,3.233,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I change hobbies.,0,0,23,23,23,2,3.216,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I spend or charge more than I earn.,0,0,24,24,24,2,3.834,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I often have extraneous thoughts when thinking.,0,0,25,25,25,3,2.319,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I am more interested in the present than the future.,0,0,26,26,26,2,5.751,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I am restless at the theater or lectures.,0,0,27,27,27,3,1.985,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I like puzzles.,1,0,28,28,28,2,3.617,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
I am future oriented. ,1,0,29,29,29,3,1.568,2017_May_15_1424,60.2376010181,BIS11_questions,001,136,
