	decision	gains	losses	subject
0	1	14	2	105
1	1	18	9	105
2	1	10	9	105
3	1	10	8	105
4	1	20	8	105
5	1	10	5	105
6	1	4	1	105
7	1	16	3	105
8	1	18	10	105
9	1	14	3	105
10	1	12	10	105
11	1	8	2	105
12	1	20	10	105
13	1	6	1	105
14	1	14	6	105
15	1	6	4	105
16	1	14	5	105
17	1	18	7	105
18	1	8	6	105
19	1	20	2	105
20	1	18	4	105
21	1	8	4	105
22	1	16	1	105
23	1	16	8	105
24	1	8	5	105
25	1	12	1	105
26	1	16	2	105
27	1	18	2	105
28	1	16	10	105
29	1	14	10	105
30	1	18	3	105
31	1	14	7	105
32	1	10	4	105
33	1	16	4	105
34	1	2	1	105
35	1	12	9	105
36	1	16	5	105
37	1	8	7	105
38	1	10	7	105
39	1	12	7	105
40	1	10	2	105
41	1	14	8	105
42	1	10	3	105
43	1	10	1	105
44	1	20	9	105
45	1	16	7	105
46	1	8	3	105
47	1	4	3	105
48	1	18	1	105
49	1	16	6	105
50	1	18	8	105
51	1	18	5	105
52	1	4	2	105
53	1	6	2	105
54	1	12	8	105
55	1	20	1	105
56	1	16	9	105
57	1	14	1	105
58	1	20	6	105
59	1	12	2	105
60	1	12	6	105
61	1	12	5	105
62	1	20	5	105
63	1	12	4	105
64	1	18	6	105
65	1	20	7	105
66	1	14	9	105
67	1	8	1	105
68	1	6	3	105
69	1	6	5	105
70	1	20	4	105
71	1	12	3	105
72	1	14	4	105
73	1	20	3	105
74	0	6	8	105
75	0	8	9	105
76	0	8	8	105
77	0	2	6	105
78	0	6	10	105
79	0	2	7	105
80	0	2	4	105
81	0	6	9	105
82	0	4	8	105
83	0	2	2	105
84	0	2	5	105
85	0	4	4	105
86	0	6	7	105
87	0	2	9	105
88	0	6	6	105
89	0	4	9	105
90	0	2	8	105
91	0	10	6	105
92	0	2	3	105
93	0	4	10	105
94	0	8	10	105
95	0	4	5	105
96	0	4	7	105
97	0	10	10	105
98	0	4	6	105
99	0	2	10	105
