	decision	gains	losses	subject
0	1	2	1	117
1	1	8	5	117
2	1	20	4	117
3	1	18	1	117
4	1	10	1	117
5	1	12	4	117
6	1	10	2	117
7	1	16	4	117
8	1	14	4	117
9	1	14	1	117
10	1	18	7	117
11	1	16	2	117
12	1	20	1	117
13	1	12	2	117
14	1	20	3	117
15	1	14	3	117
16	1	18	5	117
17	1	14	2	117
18	1	20	6	117
19	1	18	2	117
20	1	6	1	117
21	1	20	7	117
22	1	20	5	117
23	1	20	2	117
24	1	18	8	117
25	1	16	1	117
26	1	12	1	117
27	1	18	3	117
28	1	8	1	117
29	1	20	8	117
30	1	16	3	117
31	1	8	2	117
32	1	12	3	117
33	0	2	2	117
34	0	6	10	117
35	0	14	10	117
36	0	16	10	117
37	0	6	9	117
38	0	8	3	117
39	0	10	8	117
40	0	2	5	117
41	0	10	5	117
42	0	16	9	117
43	0	6	2	117
44	0	8	10	117
45	0	10	9	117
46	0	14	7	117
47	0	14	9	117
48	0	20	9	117
49	0	2	9	117
50	0	4	1	117
51	0	18	4	117
52	0	12	10	117
53	0	2	3	117
54	0	8	7	117
55	0	2	6	117
56	0	12	7	117
57	0	16	5	117
58	0	12	5	117
59	0	16	7	117
60	0	18	6	117
61	0	18	9	117
62	0	6	7	117
63	0	4	8	117
64	0	4	9	117
65	0	2	8	117
66	0	6	5	117
67	0	14	5	117
68	0	4	6	117
69	0	14	8	117
70	0	8	9	117
71	0	12	8	117
72	0	16	8	117
73	0	12	9	117
74	0	10	6	117
75	0	2	7	117
76	0	4	10	117
77	0	10	7	117
78	0	14	6	117
79	0	2	4	117
80	0	8	4	117
81	0	10	4	117
82	0	10	3	117
83	0	4	7	117
84	0	4	2	117
85	0	6	4	117
86	0	12	6	117
87	0	6	8	117
88	0	10	10	117
89	0	6	6	117
90	0	4	5	117
91	0	16	6	117
92	0	8	8	117
93	0	2	10	117
94	0	6	3	117
95	0	18	10	117
96	0	20	10	117
97	0	4	3	117
98	0	4	4	117
99	0	8	6	117
