	decision	gains	losses	subject
0	1	16	4	101
1	1	18	4	101
2	1	12	5	101
3	1	20	9	101
4	1	20	1	101
5	1	16	7	101
6	1	20	8	101
7	1	10	3	101
8	1	4	1	101
9	1	16	6	101
10	1	4	3	101
11	1	12	4	101
12	1	16	3	101
13	1	14	5	101
14	1	16	2	101
15	1	12	2	101
16	1	8	3	101
17	1	20	5	101
18	1	8	1	101
19	1	14	8	101
20	1	12	3	101
21	1	14	1	101
22	1	8	5	101
23	1	18	8	101
24	1	18	1	101
25	1	2	1	101
26	1	16	8	101
27	1	6	4	101
28	1	12	1	101
29	1	10	1	101
30	1	18	5	101
31	1	10	6	101
32	1	6	1	101
33	1	20	6	101
34	1	14	7	101
35	1	6	5	101
36	1	14	2	101
37	1	20	4	101
38	1	10	4	101
39	1	10	5	101
40	1	20	7	101
41	1	16	5	101
42	1	18	2	101
43	1	6	3	101
44	1	18	3	101
45	1	18	6	101
46	1	6	2	101
47	1	8	2	101
48	1	14	3	101
49	1	8	4	101
50	1	12	6	101
51	1	10	2	101
52	1	4	2	101
53	1	20	2	101
54	1	14	4	101
55	1	20	3	101
56	1	16	1	101
57	0	12	8	101
58	0	2	10	101
59	0	2	3	101
60	0	4	10	101
61	0	14	6	101
62	0	4	6	101
63	0	10	8	101
64	0	18	10	101
65	0	14	9	101
66	0	14	10	101
67	0	2	5	101
68	0	16	10	101
69	0	10	9	101
70	0	8	6	101
71	0	4	8	101
72	0	4	5	101
73	0	2	9	101
74	0	4	9	101
75	0	10	7	101
76	0	4	7	101
77	0	10	10	101
78	0	12	9	101
79	0	6	7	101
80	0	2	7	101
81	0	2	2	101
82	0	6	9	101
83	0	4	4	101
84	0	12	10	101
85	0	8	9	101
86	0	8	7	101
87	0	18	9	101
88	0	8	10	101
89	0	8	8	101
90	0	6	8	101
91	0	2	6	101
92	0	6	10	101
93	0	6	6	101
94	0	2	4	101
95	0	2	8	101
96	0	20	10	101
97	0	16	9	101
98	0	18	7	101
99	0	12	7	101
