	decision	gains	losses	subject
0	1	10	4	110
1	1	18	3	110
2	1	16	4	110
3	1	18	9	110
4	1	14	6	110
5	1	8	2	110
6	1	12	4	110
7	1	16	1	110
8	1	8	3	110
9	1	16	7	110
10	1	18	2	110
11	1	14	1	110
12	1	10	2	110
13	1	14	7	110
14	1	12	1	110
15	1	16	2	110
16	1	12	2	110
17	1	14	3	110
18	1	20	3	110
19	1	20	6	110
20	1	16	5	110
21	1	8	1	110
22	1	10	7	110
23	1	20	2	110
24	1	18	5	110
25	1	16	3	110
26	1	6	1	110
27	1	18	1	110
28	1	14	2	110
29	1	20	8	110
30	1	14	4	110
31	1	20	7	110
32	1	14	5	110
33	1	20	5	110
34	1	10	3	110
35	1	20	1	110
36	1	2	1	110
37	1	18	7	110
38	1	18	4	110
39	1	10	6	110
40	1	18	6	110
41	1	10	1	110
42	1	20	4	110
43	1	20	9	110
44	1	12	3	110
45	1	18	8	110
46	1	16	6	110
47	0	2	6	110
48	0	6	5	110
49	0	12	5	110
50	0	6	3	110
51	0	8	5	110
52	0	2	4	110
53	0	4	3	110
54	0	8	8	110
55	0	4	9	110
56	0	16	9	110
57	0	8	10	110
58	0	8	6	110
59	0	2	5	110
60	0	4	7	110
61	0	10	8	110
62	0	4	10	110
63	0	8	4	110
64	0	4	2	110
65	0	12	7	110
66	0	12	10	110
67	0	4	6	110
68	0	20	10	110
69	0	2	3	110
70	0	14	10	110
71	0	14	8	110
72	0	4	8	110
73	0	6	7	110
74	0	4	1	110
75	0	2	9	110
76	0	6	4	110
77	0	16	10	110
78	0	6	10	110
79	0	8	7	110
80	0	10	10	110
81	0	2	10	110
82	0	2	8	110
83	0	6	2	110
84	0	12	8	110
85	0	14	9	110
86	0	8	9	110
87	0	2	2	110
88	0	6	8	110
89	0	16	8	110
90	0	2	7	110
91	0	10	9	110
92	0	4	4	110
93	0	12	9	110
94	0	10	5	110
95	0	6	9	110
96	0	18	10	110
97	0	4	5	110
98	0	6	6	110
99	0	12	6	110
