	decision	gains	losses	subject
0	1	16	9	116
1	1	20	6	116
2	1	16	6	116
3	1	16	4	116
4	1	18	1	116
5	1	20	9	116
6	1	20	7	116
7	1	16	7	116
8	1	14	6	116
9	1	14	2	116
10	1	16	3	116
11	1	18	5	116
12	1	18	2	116
13	1	14	5	116
14	1	20	2	116
15	1	20	10	116
16	1	20	3	116
17	1	16	2	116
18	1	18	6	116
19	1	20	1	116
20	1	20	4	116
21	1	18	8	116
22	1	12	2	116
23	1	18	9	116
24	1	20	5	116
25	1	20	8	116
26	1	18	4	116
27	1	16	1	116
28	1	14	1	116
29	0	4	6	116
30	0	4	9	116
31	0	8	9	116
32	0	4	8	116
33	0	2	6	116
34	0	14	10	116
35	0	18	10	116
36	0	8	10	116
37	0	14	9	116
38	0	2	2	116
39	0	4	4	116
40	0	8	6	116
41	0	10	1	116
42	0	12	4	116
43	0	14	7	116
44	0	6	7	116
45	0	6	6	116
46	0	4	10	116
47	0	2	1	116
48	0	10	8	116
49	0	2	8	116
50	0	4	5	116
51	0	6	8	116
52	0	2	7	116
53	0	8	4	116
54	0	4	1	116
55	0	2	3	116
56	0	12	5	116
57	0	6	3	116
58	0	8	7	116
59	0	16	8	116
60	0	12	6	116
61	0	10	6	116
62	0	6	2	116
63	0	8	8	116
64	0	2	4	116
65	0	10	2	116
66	0	12	9	116
67	0	8	1	116
68	0	6	9	116
69	0	14	3	116
70	0	10	10	116
71	0	16	5	116
72	0	2	5	116
73	0	6	5	116
74	0	10	5	116
75	0	16	10	116
76	0	6	4	116
77	0	2	10	116
78	0	10	3	116
79	0	12	10	116
80	0	8	3	116
81	0	12	1	116
82	0	6	1	116
83	0	12	3	116
84	0	4	2	116
85	0	2	9	116
86	0	4	7	116
87	0	14	8	116
88	0	14	4	116
89	0	10	4	116
90	0	10	7	116
91	0	12	8	116
92	0	6	10	116
93	0	4	3	116
94	0	10	9	116
95	0	12	7	116
96	0	18	7	116
97	0	8	2	116
98	0	18	3	116
99	0	8	5	116
