	decision	gains	losses	subject
0	1	6	1	112
1	1	14	3	112
2	1	16	2	112
3	1	18	3	112
4	1	10	1	112
5	1	12	3	112
6	1	4	2	112
7	1	14	1	112
8	1	16	3	112
9	1	4	1	112
10	1	20	1	112
11	1	12	2	112
12	1	10	4	112
13	1	14	2	112
14	1	14	4	112
15	1	8	3	112
16	1	18	1	112
17	1	10	2	112
18	1	20	2	112
19	1	8	1	112
20	1	12	1	112
21	1	16	6	112
22	1	20	3	112
23	1	20	6	112
24	1	18	2	112
25	0	14	10	112
26	0	10	7	112
27	0	8	10	112
28	0	18	5	112
29	0	12	7	112
30	0	10	5	112
31	0	4	7	112
32	0	12	4	112
33	0	4	4	112
34	0	16	4	112
35	0	2	8	112
36	0	20	8	112
37	0	12	5	112
38	0	16	5	112
39	0	18	7	112
40	0	10	3	112
41	0	6	9	112
42	0	8	4	112
43	0	6	4	112
44	0	8	6	112
45	0	2	5	112
46	0	8	2	112
47	0	18	4	112
48	0	4	10	112
49	0	14	7	112
50	0	4	8	112
51	0	8	7	112
52	0	6	6	112
53	0	4	3	112
54	0	2	2	112
55	0	18	8	112
56	0	4	9	112
57	0	16	7	112
58	0	10	9	112
59	0	2	9	112
60	0	12	10	112
61	0	14	9	112
62	0	16	10	112
63	0	12	8	112
64	0	2	7	112
65	0	6	10	112
66	0	14	6	112
67	0	18	9	112
68	0	2	4	112
69	0	10	10	112
70	0	20	5	112
71	0	6	3	112
72	0	2	3	112
73	0	16	9	112
74	0	8	9	112
75	0	14	5	112
76	0	16	1	112
77	0	6	2	112
78	0	2	10	112
79	0	16	8	112
80	0	20	7	112
81	0	14	8	112
82	0	6	8	112
83	0	10	6	112
84	0	20	10	112
85	0	18	10	112
86	0	8	5	112
87	0	18	6	112
88	0	8	8	112
89	0	12	6	112
90	0	10	8	112
91	0	20	4	112
92	0	4	6	112
93	0	6	7	112
94	0	12	9	112
95	0	4	5	112
96	0	2	1	112
97	0	20	9	112
98	0	2	6	112
99	0	6	5	112
