	decision	gains	losses	subject
0	1	14	3	109
1	1	10	1	109
2	1	12	1	109
3	1	6	1	109
4	1	18	1	109
5	1	20	4	109
6	1	8	1	109
7	1	10	2	109
8	1	20	2	109
9	1	18	4	109
10	1	16	2	109
11	1	20	3	109
12	1	14	2	109
13	1	12	3	109
14	1	16	1	109
15	1	12	2	109
16	1	20	1	109
17	1	14	1	109
18	1	18	3	109
19	1	18	2	109
20	0	4	10	109
21	0	8	4	109
22	0	2	6	109
23	0	14	9	109
24	0	6	2	109
25	0	16	8	109
26	0	10	8	109
27	0	8	7	109
28	0	8	5	109
29	0	6	5	109
30	0	2	10	109
31	0	10	4	109
32	0	20	6	109
33	0	14	8	109
34	0	4	3	109
35	0	18	5	109
36	0	4	8	109
37	0	12	9	109
38	0	12	10	109
39	0	4	7	109
40	0	14	6	109
41	0	20	9	109
42	0	6	6	109
43	0	4	6	109
44	0	8	9	109
45	0	10	3	109
46	0	6	10	109
47	0	2	1	109
48	0	6	3	109
49	0	10	5	109
50	0	18	6	109
51	0	4	4	109
52	0	2	8	109
53	0	20	5	109
54	0	10	6	109
55	0	16	9	109
56	0	2	7	109
57	0	10	7	109
58	0	14	4	109
59	0	10	10	109
60	0	8	6	109
61	0	8	2	109
62	0	16	4	109
63	0	12	6	109
64	0	20	7	109
65	0	2	9	109
66	0	12	5	109
67	0	20	10	109
68	0	18	10	109
69	0	18	9	109
70	0	16	10	109
71	0	18	7	109
72	0	4	5	109
73	0	8	8	109
74	0	12	4	109
75	0	16	5	109
76	0	4	2	109
77	0	2	4	109
78	0	16	6	109
79	0	4	9	109
80	0	6	9	109
81	0	6	4	109
82	0	6	8	109
83	0	14	10	109
84	0	12	7	109
85	0	8	10	109
86	0	2	3	109
87	0	6	7	109
88	0	14	5	109
89	0	18	8	109
90	0	4	1	109
91	0	20	8	109
92	0	16	7	109
93	0	8	3	109
94	0	14	7	109
95	0	16	3	109
96	0	2	5	109
97	0	2	2	109
98	0	12	8	109
99	0	10	9	109
