	decision	gains	losses	subject
0	1	4	2	119
1	1	6	1	119
2	1	8	1	119
3	1	12	5	119
4	1	14	3	119
5	1	18	1	119
6	1	20	4	119
7	1	10	2	119
8	1	10	5	119
9	1	16	2	119
10	1	4	1	119
11	1	14	6	119
12	1	12	2	119
13	1	14	4	119
14	1	14	5	119
15	1	6	3	119
16	1	14	7	119
17	1	16	5	119
18	1	20	1	119
19	1	20	6	119
20	1	20	7	119
21	1	16	6	119
22	1	12	6	119
23	1	14	2	119
24	1	12	3	119
25	1	10	1	119
26	1	18	2	119
27	1	18	7	119
28	1	16	3	119
29	1	16	4	119
30	1	18	4	119
31	1	18	6	119
32	1	10	4	119
33	1	8	3	119
34	1	18	3	119
35	1	14	1	119
36	1	16	1	119
37	1	10	3	119
38	1	8	2	119
39	1	20	3	119
40	1	20	2	119
41	1	2	1	119
42	1	20	10	119
43	1	20	8	119
44	1	20	5	119
45	1	18	5	119
46	1	12	4	119
47	1	12	1	119
48	0	14	9	119
49	0	10	6	119
50	0	4	8	119
51	0	8	9	119
52	0	14	10	119
53	0	6	9	119
54	0	4	9	119
55	0	8	5	119
56	0	10	9	119
57	0	8	6	119
58	0	2	5	119
59	0	4	10	119
60	0	10	7	119
61	0	4	5	119
62	0	12	7	119
63	0	20	9	119
64	0	2	2	119
65	0	4	6	119
66	0	16	8	119
67	0	2	6	119
68	0	2	7	119
69	0	8	10	119
70	0	4	4	119
71	0	14	8	119
72	0	8	7	119
73	0	18	9	119
74	0	6	5	119
75	0	12	10	119
76	0	6	7	119
77	0	18	8	119
78	0	16	10	119
79	0	4	7	119
80	0	18	10	119
81	0	6	10	119
82	0	6	8	119
83	0	2	10	119
84	0	16	7	119
85	0	2	4	119
86	0	16	9	119
87	0	4	3	119
88	0	2	3	119
89	0	12	8	119
90	0	6	4	119
91	0	12	9	119
92	0	8	4	119
93	0	10	8	119
94	0	10	10	119
95	0	2	8	119
96	0	2	9	119
97	0	6	6	119
98	0	6	2	119
99	0	8	8	119
