	decision	gains	losses	subject
0	1	14	4	129
1	1	4	3	129
2	1	16	8	129
3	1	4	4	129
4	1	10	1	129
5	1	16	4	129
6	1	20	10	129
7	1	20	7	129
8	1	18	4	129
9	1	6	5	129
10	1	18	6	129
11	1	14	2	129
12	1	14	6	129
13	1	6	1	129
14	1	18	8	129
15	1	18	1	129
16	1	10	4	129
17	1	14	7	129
18	1	18	7	129
19	1	10	3	129
20	1	4	2	129
21	1	16	2	129
22	1	20	1	129
23	1	12	7	129
24	1	18	5	129
25	1	12	4	129
26	1	18	2	129
27	1	14	3	129
28	1	14	1	129
29	1	10	2	129
30	1	20	4	129
31	1	16	1	129
32	1	8	1	129
33	1	12	2	129
34	1	6	3	129
35	1	8	3	129
36	1	20	2	129
37	1	16	7	129
38	1	16	6	129
39	1	4	1	129
40	1	12	5	129
41	1	20	6	129
42	1	20	3	129
43	1	18	3	129
44	1	2	1	129
45	1	14	5	129
46	1	16	3	129
47	1	18	9	129
48	1	6	2	129
49	1	20	5	129
50	1	8	2	129
51	1	16	5	129
52	1	12	1	129
53	1	8	4	129
54	1	20	8	129
55	1	12	3	129
56	0	2	9	129
57	0	2	2	129
58	0	4	9	129
59	0	12	9	129
60	0	6	8	129
61	0	6	7	129
62	0	10	10	129
63	0	6	4	129
64	0	6	6	129
65	0	6	10	129
66	0	10	9	129
67	0	2	7	129
68	0	8	7	129
69	0	8	6	129
70	0	8	8	129
71	0	14	10	129
72	0	20	9	129
73	0	10	7	129
74	0	6	9	129
75	0	10	5	129
76	0	8	10	129
77	0	12	6	129
78	0	10	6	129
79	0	4	5	129
80	0	4	6	129
81	0	4	7	129
82	0	14	8	129
83	0	2	6	129
84	0	2	8	129
85	0	2	5	129
86	0	4	10	129
87	0	10	8	129
88	0	8	9	129
89	0	16	10	129
90	0	4	8	129
91	0	8	5	129
92	0	2	3	129
93	0	18	10	129
94	0	12	8	129
95	0	2	4	129
96	0	2	10	129
97	0	16	9	129
98	0	14	9	129
99	0	12	10	129
