	decision	gains	losses	subject
0	1	16	4	107
1	1	18	5	107
2	1	16	1	107
3	1	20	5	107
4	1	20	2	107
5	1	12	5	107
6	1	20	7	107
7	1	12	1	107
8	1	16	2	107
9	1	16	3	107
10	1	20	4	107
11	1	8	1	107
12	1	12	4	107
13	1	18	2	107
14	1	20	1	107
15	1	16	5	107
16	1	14	4	107
17	1	20	6	107
18	1	18	3	107
19	1	18	7	107
20	1	18	8	107
21	1	20	3	107
22	1	8	2	107
23	1	10	3	107
24	1	14	1	107
25	1	16	6	107
26	1	14	2	107
27	1	18	4	107
28	1	10	1	107
29	1	18	1	107
30	1	12	2	107
31	0	6	3	107
32	0	8	10	107
33	0	4	4	107
34	0	4	5	107
35	0	20	9	107
36	0	4	8	107
37	0	18	9	107
38	0	16	9	107
39	0	4	1	107
40	0	10	4	107
41	0	2	7	107
42	0	2	1	107
43	0	2	10	107
44	0	20	10	107
45	0	4	3	107
46	0	4	10	107
47	0	12	7	107
48	0	8	3	107
49	0	6	7	107
50	0	10	10	107
51	0	8	4	107
52	0	6	4	107
53	0	2	5	107
54	0	2	2	107
55	0	10	5	107
56	0	6	10	107
57	0	2	8	107
58	0	2	6	107
59	0	4	6	107
60	0	2	3	107
61	0	14	7	107
62	0	6	2	107
63	0	12	9	107
64	0	16	10	107
65	0	4	2	107
66	0	10	6	107
67	0	14	6	107
68	0	12	10	107
69	0	4	9	107
70	0	8	8	107
71	0	6	5	107
72	0	6	1	107
73	0	6	9	107
74	0	6	6	107
75	0	12	3	107
76	0	14	3	107
77	0	10	7	107
78	0	6	8	107
79	0	14	9	107
80	0	4	7	107
81	0	8	9	107
82	0	16	8	107
83	0	2	4	107
84	0	10	9	107
85	0	20	8	107
86	0	10	2	107
87	0	10	8	107
88	0	8	7	107
89	0	8	5	107
90	0	18	6	107
91	0	8	6	107
92	0	14	8	107
93	0	16	7	107
94	0	14	10	107
95	0	12	6	107
96	0	14	5	107
97	0	12	8	107
98	0	2	9	107
99	0	18	10	107
