	decision	gains	losses	subject
0	1	10	1	111
1	1	6	2	111
2	1	20	8	111
3	1	10	2	111
4	1	18	7	111
5	1	16	3	111
6	1	20	3	111
7	1	16	2	111
8	1	4	1	111
9	1	8	1	111
10	1	18	4	111
11	1	14	4	111
12	1	18	6	111
13	1	20	1	111
14	1	18	3	111
15	1	18	1	111
16	1	20	2	111
17	1	14	2	111
18	1	20	4	111
19	1	16	1	111
20	1	18	2	111
21	1	14	1	111
22	1	20	5	111
23	1	18	5	111
24	1	12	2	111
25	1	20	6	111
26	1	12	3	111
27	0	16	10	111
28	0	4	9	111
29	0	4	5	111
30	0	20	10	111
31	0	12	10	111
32	0	12	7	111
33	0	20	9	111
34	0	4	6	111
35	0	14	7	111
36	0	14	10	111
37	0	12	8	111
38	0	6	6	111
39	0	4	4	111
40	0	6	10	111
41	0	18	9	111
42	0	14	6	111
43	0	14	5	111
44	0	8	9	111
45	0	2	1	111
46	0	6	4	111
47	0	8	3	111
48	0	2	5	111
49	0	8	8	111
50	0	8	7	111
51	0	16	6	111
52	0	2	7	111
53	0	10	8	111
54	0	14	8	111
55	0	10	7	111
56	0	12	4	111
57	0	8	5	111
58	0	6	8	111
59	0	8	6	111
60	0	10	10	111
61	0	2	6	111
62	0	16	8	111
63	0	16	5	111
64	0	18	8	111
65	0	2	4	111
66	0	4	7	111
67	0	2	8	111
68	0	10	4	111
69	0	20	7	111
70	0	14	9	111
71	0	12	1	111
72	0	6	1	111
73	0	6	5	111
74	0	16	4	111
75	0	10	6	111
76	0	12	9	111
77	0	6	3	111
78	0	4	3	111
79	0	8	4	111
80	0	2	10	111
81	0	10	3	111
82	0	2	2	111
83	0	12	6	111
84	0	8	10	111
85	0	16	9	111
86	0	14	3	111
87	0	2	3	111
88	0	6	9	111
89	0	12	5	111
90	0	10	9	111
91	0	4	10	111
92	0	18	10	111
93	0	10	5	111
94	0	4	2	111
95	0	16	7	111
96	0	8	2	111
97	0	2	9	111
98	0	4	8	111
99	0	6	7	111
