	decision	gains	losses	subject
0	1	6	1	103
1	1	8	1	103
2	1	16	4	103
3	1	12	3	103
4	1	18	2	103
5	1	10	3	103
6	1	18	4	103
7	1	10	2	103
8	1	18	3	103
9	1	14	4	103
10	1	20	4	103
11	1	16	2	103
12	1	14	2	103
13	1	20	3	103
14	1	16	3	103
15	1	20	2	103
16	1	14	1	103
17	1	18	1	103
18	1	16	1	103
19	1	10	1	103
20	1	20	1	103
21	0	4	8	103
22	0	8	9	103
23	0	20	10	103
24	0	10	5	103
25	0	8	3	103
26	0	6	5	103
27	0	10	9	103
28	0	10	4	103
29	0	2	4	103
30	0	4	2	103
31	0	10	6	103
32	0	6	6	103
33	0	4	1	103
34	0	8	10	103
35	0	20	8	103
36	0	6	10	103
37	0	8	8	103
38	0	2	3	103
39	0	8	7	103
40	0	2	9	103
41	0	4	9	103
42	0	18	9	103
43	0	20	6	103
44	0	18	7	103
45	0	10	8	103
46	0	4	10	103
47	0	12	10	103
48	0	2	7	103
49	0	14	9	103
50	0	6	7	103
51	0	2	5	103
52	0	4	6	103
53	0	18	10	103
54	0	2	6	103
55	0	2	2	103
56	0	12	6	103
57	0	4	5	103
58	0	14	7	103
59	0	14	5	103
60	0	8	4	103
61	0	2	8	103
62	0	20	9	103
63	0	6	4	103
64	0	2	10	103
65	0	2	1	103
66	0	16	8	103
67	0	16	7	103
68	0	18	5	103
69	0	16	10	103
70	0	20	7	103
71	0	12	2	103
72	0	10	10	103
73	0	4	3	103
74	0	12	9	103
75	0	12	4	103
76	0	6	9	103
77	0	12	7	103
78	0	6	2	103
79	0	6	8	103
80	0	8	6	103
81	0	18	8	103
82	0	12	1	103
83	0	20	5	103
84	0	12	5	103
85	0	16	5	103
86	0	4	7	103
87	0	12	8	103
88	0	16	9	103
89	0	4	4	103
90	0	14	10	103
91	0	8	5	103
92	0	16	6	103
93	0	14	6	103
94	0	18	6	103
95	0	6	3	103
96	0	10	7	103
97	0	14	3	103
98	0	14	8	103
99	0	8	2	103
