	decision	gains	losses	subject
0	1	20	2	115
1	1	18	8	115
2	1	14	1	115
3	1	14	6	115
4	1	16	1	115
5	1	8	2	115
6	1	6	3	115
7	1	20	3	115
8	1	16	2	115
9	1	20	5	115
10	1	20	4	115
11	1	12	1	115
12	1	18	4	115
13	1	14	4	115
14	1	6	1	115
15	1	18	1	115
16	1	12	3	115
17	1	20	6	115
18	1	14	5	115
19	1	12	2	115
20	1	14	2	115
21	1	6	2	115
22	1	8	1	115
23	1	10	3	115
24	1	4	2	115
25	1	16	4	115
26	1	4	1	115
27	1	18	2	115
28	1	16	3	115
29	1	10	2	115
30	1	10	1	115
31	1	20	1	115
32	1	14	3	115
33	1	18	3	115
34	0	2	7	115
35	0	10	10	115
36	0	18	7	115
37	0	20	10	115
38	0	2	10	115
39	0	2	6	115
40	0	4	8	115
41	0	10	9	115
42	0	16	9	115
43	0	14	7	115
44	0	6	6	115
45	0	8	10	115
46	0	20	7	115
47	0	6	9	115
48	0	2	3	115
49	0	2	1	115
50	0	2	4	115
51	0	18	10	115
52	0	12	9	115
53	0	10	4	115
54	0	4	10	115
55	0	4	6	115
56	0	12	10	115
57	0	2	5	115
58	0	8	6	115
59	0	12	6	115
60	0	4	5	115
61	0	6	4	115
62	0	2	2	115
63	0	6	5	115
64	0	8	9	115
65	0	8	8	115
66	0	10	5	115
67	0	2	8	115
68	0	8	4	115
69	0	16	5	115
70	0	6	10	115
71	0	16	7	115
72	0	16	8	115
73	0	12	8	115
74	0	4	3	115
75	0	14	9	115
76	0	16	6	115
77	0	16	10	115
78	0	6	7	115
79	0	10	8	115
80	0	12	4	115
81	0	14	10	115
82	0	20	9	115
83	0	4	4	115
84	0	4	9	115
85	0	10	7	115
86	0	20	8	115
87	0	14	8	115
88	0	18	9	115
89	0	6	8	115
90	0	8	3	115
91	0	8	7	115
92	0	18	6	115
93	0	2	9	115
94	0	18	5	115
95	0	8	5	115
96	0	4	7	115
97	0	12	7	115
98	0	10	6	115
99	0	12	5	115
