
#Voxels  CM x   CM y   CM z  Peak x Peak y Peak z        Overlapping Anatomical ROIs
#------ ------ ------ ------ ------ ------ ------ --------------------------------------------
    157   -4.6  +77.1   +2.8  -15.0  +77.0  -11.0  B Calcarine Gyrus, B Lingual Gyrus
     53   -4.5  +30.9   +1.0   -7.0  +33.0   -5.0  R Lingual Gyrus, R Thalamus
     45  -18.6  +73.8  +43.3  -23.0  +73.0  +35.0  R Precuneus, R Superior Occipital Gyrus
     30   -2.8  +35.7  +48.3   +5.0  +35.0  +43.0  B Middle Cingulate Cortex
     24   -4.2  -11.7  +43.5   +1.0  -15.0  +39.0  B Middle Cingulate Cortex, B SMA
     18   -5.2  -24.0  +29.7   -3.0  -19.0  +27.0  R Anterior Cingulate Cortex
     15   +4.1  +42.6   +1.4   +3.0  +43.0   -3.0  Cerebellar Vermis (4/5), L Cerebellum (IV-V)
     15  -44.7   -5.4  +40.6  -45.0   -7.0  +37.0  R Middle Frontal Gyrus, R Precentral Gyrus
     14  -10.9  +89.9   +9.0  -15.0  +89.0   +3.0  R Calcarine Gyrus
     12  +35.3  +63.7  -20.5  +33.0  +63.0  -23.0  Left Cerebellum (VI)
