	Unnamed: 0	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	1	206.0	388.0	304.0	2313	10263	8293	1970	330.0	330	[3, 2, 4, 1, 2, 4, 3, 1]	4332	5	[3, 2, 4, 1, 2, 4, 3, 1]	7963	B	272.0	256.0	107	293.0	0	251.0
1	1	0	1		311.0	200.0	1624	18940	17076	1203	263.0	263	[4, 3, 1, 4, 2, 3]	13183	5	[4, 3, 1, 4, 2, 3, 1, 2]	16813	A		201.0	107	269.0	1	222.0
2	2	0	1		287.0	207.0	1624	29969	28189	1211	347.0	347	[4, 3, 1, 4, 2, 3]	22310	30	[4, 3, 1, 4, 2, 3, 1, 2]	27842	A		225.0	107	302.0	1	190.0
3	3	1	1	161.0	287.0	204.0	1624	38895	37534	1361	262.0	262	[4, 3, 1, 4, 2, 3, 1, 2]	33741	30	[4, 3, 1, 4, 2, 3, 1, 2]	37272	A	189.0	203.0	107	163.0	0	154.0
4	4	1	1	134.0	247.0	233.0	1624	47375	46098	1277	266.0	266	[4, 3, 1, 4, 2, 3, 1, 2]	42301	5	[4, 3, 1, 4, 2, 3, 1, 2]	45832	A	153.0	247.0	107	135.0	0	128.0
5	5	1	1	184.0	421.0	180.0	2313	56879	55196	1683	276.0	276	[3, 2, 4, 1, 2, 4, 3, 1]	50989	30	[3, 2, 4, 1, 2, 4, 3, 1]	54920	B	220.0	268.0	107	258.0	0	152.0
6	6	1	1	110.0	385.0	263.0	2313	66956	65222	1734	281.0	281	[3, 2, 4, 1, 2, 4, 3, 1]	59710	30	[3, 2, 4, 1, 2, 4, 3, 1]	64941	B	209.0	198.0	107	345.0	0	224.0
7	7	1	1	207.0	260.0	195.0	1624	77178	75870	1308	254.0	254	[4, 3, 1, 4, 2, 3, 1, 2]	71685	10	[4, 3, 1, 4, 2, 3, 1, 2]	75616	A	175.0	209.0	107	151.0	0	111.0
8	8	1	1	145.0	394.0	195.0	2313	86587	84932	1655	314.0	314	[3, 2, 4, 1, 2, 4, 3, 1]	80686	5	[3, 2, 4, 1, 2, 4, 3, 1]	84618	B	250.0	211.0	107	277.0	0	183.0
9	9	1	1	128.0	372.0	193.0	2313	95054	93454	1600	312.0	312	[3, 2, 4, 1, 2, 4, 3, 1]	89511	5	[3, 2, 4, 1, 2, 4, 3, 1]	93142	B	257.0	225.0	107	260.0	0	165.0
